지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg)
강남,2018-01-01,0.3,-2.4,3.4,0,6.4,1.4,289.7
강남,2018-01-02,-0.9,-3.4,2.2,0,7.3,1.7,239.1
강남,2018-01-03,-3.7,-5.5,-0.6,0,6.3,2,264.4
강남,2018-01-04,-3.7,-6.7,-1.3,0,4.2,1.1,64.7
강남,2018-01-05,-1.5,-3.6,1.6,0,6.3,1.5,255.9
강남,2018-01-06,-1.3,-4,2.2,0,5,1.6,250.3
강남,2018-01-07,-0.4,-4.9,2.3,0,4.6,1.1,67.5
강남,2018-01-08,1.8,-0.8,3.9,0.5,10.5,1.8,281.3
강남,2018-01-09,-3.3,-5.1,-0.8,0,9.5,2.4,270
강남,2018-01-10,-6.5,-9.4,-4,0,9,2.3,295.3
강남,2018-01-11,-10.3,-12.5,-7.6,0,7.6,2.4,233.4
강남,2018-01-12,-9.4,-13.6,-5.8,0,6.1,1.6,278.4
강남,2018-01-13,-4.3,-6.6,-1.7,0,3.9,1.3,64.7
강남,2018-01-14,0.8,-4.5,5.5,0,5.4,1.4,196.9
강남,2018-01-15,5.4,3.9,7.6,0,5.8,1.3,303.8
강남,2018-01-16,3.9,1.3,6.5,0,3.3,0.9,47.8
강남,2018-01-17,5.1,3.2,8.3,0,5.5,1.1,73.1
강남,2018-01-18,3.2,1.6,5.6,0,5.3,1.6,261.6
강남,2018-01-19,2.3,-0.3,5.4,0,5.7,1.3,284.1
강남,2018-01-20,3.2,-0.1,6.5,0,6,1.4,239.1
강남,2018-01-21,1.9,-2.1,5.5,0,4.3,1,261.6
강남,2018-01-22,0.6,-4.5,4.6,4.5,8.1,1.6,275.6
강남,2018-01-23,-11,-14,-4.4,0,10.2,2.9,289.7
강남,2018-01-24,-13.5,-15.3,-10.1,0,9.1,2.3,295.3
강남,2018-01-25,-13.3,-15.7,-9.5,0,7.7,2.1,312.2
강남,2018-01-26,-13.8,-17,-10.3,0,7.8,2.2,281.3
강남,2018-01-27,-9,-14.9,-4,0,4.2,1.4,286.9
강남,2018-01-28,-5.1,-7.6,-0.8,0,8.4,2.1,323.4
