date,tianjin_pm25,tianjin_pm10,tianjin_o3,tianjin_no2,tianjin_so2,tianjin_co
2020-01-02,175,115, ,43,8,18
2020-01-03,215,82, ,45,7,22
2020-01-04,240,82, ,33,7,22
2020-01-05,175, , ,27,2,16
2020-01-06,174,21, ,19,1,4
2020-01-07,90,23, ,18,2,4
2020-01-08,59,53, ,33,3,9
2020-01-09,154,67, ,27,3,10
2020-01-10,146, , , , , 
2020-01-18,246,66, ,19,3,12
2020-01-19,131,20, ,13,2,7
2020-01-20,48,52, ,27,7,12
2020-01-21,108,100, ,28,5,19
2020-01-22,192,117, ,24,4,17
2020-01-23,206,68, ,10,4,10
2020-01-24,152,91, ,12,4,9
2020-01-25,171,153, ,20,4,17
2020-01-26,265,160, ,22,4,20
2020-01-27,304,152, ,23,5,23
2020-01-28,288,87, ,18,4,16
2020-01-29,177,39, ,16,6,13
2020-01-30,107,72, ,14,6,13
2020-01-31,147,13, ,5,2,8
2019-10-01,114,60, ,16,4,9
2019-10-02,126,77, ,21,6,11
2019-10-03,139,38, ,10,4,5
2019-10-04,56,31, ,15,4,5
2019-10-05,46,50, ,22,5,7
2019-10-06,101,57, ,16,5,7
2019-10-07,116,32, ,17,4,4
2019-10-08,50,57, ,19,7,7
2019-10-09,103,41, ,15,4,6
2019-10-10,118,54, ,18,6,6
2019-10-11,88,58, ,22,8,10
2019-10-12,81,37, ,18,4,8
2019-10-13,65,29, ,11,2,6
2019-10-14,53,61, ,22,4,6
2019-10-15,110,64, ,24,4,7
2019-10-16,134, , ,17,3,9
2019-10-17,154,78, ,21,3,11
2019-10-18,166,86, ,32,5,13
2019-10-19,179,107, ,23,3,10
2019-10-20,162,72, ,23,4,6
2019-10-21,85,72, ,31,5,8
2019-10-22,102,89, ,40,5,11
2019-10-23,158,75, ,26,4,9
2019-10-24,133,23, ,12,2,3
2019-10-25,38,63, ,22,4,7
2019-10-26,110,78, ,32,6,9
2019-10-27,147,118, ,15,3,5
2019-10-28,92,69, ,25,4,4
2019-10-29,80,136, ,39,9,7
2019-10-30,161,87, ,29,6,7
2019-10-31,117,58, ,22,5,7
2019-11-01,90,50, ,24,6,7
2019-11-02,85,52, ,19,5,8
2019-11-03,92,73, ,25,5,9
2019-11-04,149,61, ,27,5,8
2019-11-05,113,73, ,29,6,8
2019-11-06,130,45, ,19,5,7
2019-11-07,75,70, ,26,5,9
2019-11-08,130,109, ,41,5,16
2019-11-09,199,71, ,13,2,6
2019-11-10,95,61, ,29,4,5
2019-11-11,77,85, ,36,8,10
2019-11-12,126,59, ,15,3,4
2019-11-13,64,69, ,28,7,9
2019-11-14,100,58, ,21,5,7
2019-11-15,102,54, ,22,10,13
2019-11-16,104,136, ,19,6,11
2019-11-17,134,75, ,9,2,3
2019-11-18,70,65, ,21,3,4
2019-11-19,81,97, ,36,9,12
2019-11-20,132,130, ,38,7,23
2019-11-21,184,110, ,34,6,24
2019-11-22,187,99, ,34,7,17
2019-11-23,187,31, ,12,2,4
2019-11-24,73,30, ,16,2,3
2019-11-25,62,63, ,26,7,7
2019-11-26,126,37, ,19,3,5
2019-11-27,62,50, ,24,7,7
2019-11-28,93,66, ,40,7,9
2019-11-29,149,59, ,23,3,9
2019-11-30,158,31, ,9,2,3
2019-12-01,56,34, ,15,3,4
2019-12-02,58,73, ,27,7,9
2019-12-03,138,53, ,28,6,5
2019-12-04,91,49, ,16,6,6
2019-12-05,93,57, ,23,6,8
2019-12-06,128,106, ,31,5,12
2019-12-07,175,88, ,29,2,15
2019-12-08,184,117, , ,3,19
2019-12-09,196,126, ,24,3,21
2019-12-10,168,32, ,16,2,5
2019-12-11,57,54, ,24,5,7
2019-12-12,92,58, ,27,5,10
2019-12-13,113,37, ,24,6,8
2019-12-14,66,70, ,30,7,13
2019-12-15,144,78, ,25,5,15
2019-12-16,162,13, ,10,2,4
2019-12-17,45,37, ,20,3,7
2019-12-18,63,26, ,16,3,6
2019-12-19,64,51, ,25,4,8
2019-12-20,94,67, ,33,5,8
2019-12-21,143,88, ,33,8,19
2019-12-22,171,74, ,25,6,17
2019-12-23,160,51, ,23,5,9
2019-12-24,119,66, ,24,3,12
2019-12-25,147,47, ,21,3,5
2019-12-26,74,82, ,28,7,11
2019-12-27,144,118, ,37,6,27
2019-12-28,184,118, ,32,4,24
2019-12-29,185, , , , , 
2019-07-01,81,58, ,20,8,9
2019-07-02,87,50, ,17,7,8
2019-07-03,89,57, ,15,7,5
2019-07-04,91,64, ,11,5,7
2019-07-05,112,131, ,12,4,9
2019-07-06,116,32, ,10,2,5
2019-07-07,88,42, ,14,2,5
2019-07-08,99,51, ,19,2,8
2019-07-09,122,32, ,11,3,9
2019-07-10,111,40, ,15,2,5
2019-07-11,94,53, ,15,4,7
2019-07-12,126,65, ,22,4,12
2019-07-13,149,42, ,15,4,10
2019-07-14,98,51, ,21,3,13
2019-07-15,124,45, ,19,3,10
2019-07-16,100,63, ,17,4,12
2019-07-17,155,65, ,17,3,12
2019-07-18,154,43, ,19,4,9
2019-07-19,104,44, ,18,3,8
2019-07-20,111,60, ,12,5,10
2019-07-21,157,65, ,15,4,10
2019-07-22,152,44, ,14,6,8
2019-07-23,90,58, ,19,5,8
2019-07-24,111,57, ,15,5,6
2019-07-25,108,58, ,15,3,9
2019-07-26,121,65, ,20,6,15
2019-07-27,148,54, ,8,8,9
2019-07-28,132,19, ,7,4,5
2019-07-29,83,37, ,6,6,6
2019-07-30,75,50, ,12,4,8
2019-07-31,110,51, ,17,5,8
2019-08-01,109,35, ,14,3,7
2019-08-02,80,39, ,15,4,9
2019-08-03,81,39, ,17,4,11
2019-08-04,99,44, ,14,4,6
2019-08-05,107,53, ,16,3,8
2019-08-06,121,42, ,18,3,9
2019-08-07,109,49, ,23,3,8
2019-08-08,115,40, ,20,3,7
2019-08-09,96,25, ,13,3,6
2019-08-10,100,22, ,9,4,9
2019-08-11,55,12, ,7,3,5
2019-08-12,42,16, ,10,3,6
2019-08-13,49,33, ,15,3,7
2019-08-14,69,51, ,17,4,9
2019-08-15,113,29, ,10,3,4
2019-08-16,53,32, ,15,3,5
2019-08-17,61,55, ,22,5,7
2019-08-18,90,55, ,17,5,8
2019-08-19,106,55, ,29,4,9
2019-08-20,126,45, ,17,3,6
2019-08-21,102,47, ,21,4,7
2019-08-22,83,41, ,19,4,6
2019-08-23,73,57, ,20,5,10
2019-08-24,100,49, ,18,5,9
2019-08-25,102,62, ,14,4,11
2019-08-26,153,54, ,16,4,8
2019-08-27,114,40, ,11,3,5
2019-08-28,63,27, ,14,3,5
2019-08-29,52,35, ,16,4,5
2019-08-30,64,45, ,17,5,7
2019-08-31,86,51, ,22,6,8
2019-09-01,96,63, ,24,6,8
2019-09-02,128,70, ,28,5,7
2019-09-03,142,61, ,31,5,6
2019-09-04,120,61, ,33,5,6
2019-09-05,119,71, ,29,5,8
2019-09-06,145,77, ,23,5,8
2019-09-07,154,68, ,16,7,8
2019-09-08,139,83, ,24,5,13
2019-09-09,153,36, ,4,4,4
2019-09-10,73,45, ,18,8,14
2019-09-11,87,47, ,13,4,11
2019-09-12,93,33, ,9,4,5
2019-09-13,95,43, ,21,5,3
2019-09-14,90,63, ,21,7,7
2019-09-15,137,44, ,21,5,4
2019-09-16,87,62, ,22,5,4
2019-09-17,107,47, ,18,7,6
2019-09-18,96,47, ,19,10,8
2019-09-19,80,68, ,35,7,8
2019-09-20,128,76, ,31,9,13
2019-09-21,170,60, ,24,6,9
2019-09-22,140,76, ,27,5,8
2019-09-23,123,61, ,25,6,9
2019-09-24,105,45, ,19,6,6
2019-09-25,73,55, ,27,6,8
2019-09-26,94,57, ,25,5,9
2019-09-27,134,71, ,21,4,9
2019-09-28,151,74, ,31,5,7
2019-09-29,139,66, ,17,5,6
2019-09-30,121,56, ,16,5,9
2019-04-01,96,58, ,25,8,12
2019-04-02,104,65, ,29,5,5
2019-04-03,129,124, ,21,8,10
2019-04-04,176,292, ,19,3,7
2019-04-05,117,87, ,23,9,14
2019-04-06,115,68, ,25,6,10
2019-04-07,107,51, ,16,6,10
2019-04-08,69,45, ,17,4,7
2019-04-09,85,44, ,18,2,4
2019-04-10,90,64, ,18,4,5
2019-04-11,144,70, ,17,5,6
2019-04-12,156,95, ,22,4,7
2019-04-13,173,56, ,16,2,2
2019-04-14,76,84, ,21,6,4
2019-04-15,131,148, ,30,6,9
2019-04-16,151,93, ,22,5,7
2019-04-17,95,155, ,30,6,8
2019-04-18,109,50, ,22,6,6
2019-04-19,57,46, ,24,2,5
2019-04-20,79,82, ,25,5,10
2019-04-21,132,71, ,33,4,10
2019-04-22,156,65, ,17,3,8
2019-04-23,153,47, ,16,3,7
2019-04-24,93,21, ,8,2,3
2019-04-25,48,45, ,11,2,4
2019-04-26,85,49, ,20,3,5
2019-04-27,109,54, ,19,3,7
2019-04-28,123,69, ,21,3,8
2019-04-29,162,57, ,22,3,6
2019-04-30,106,42, ,19,3,2
2019-05-01,54,60, ,17,4,4
2019-05-02,80,68, ,18,8,6
2019-05-03,128,63, ,13,7,6
2019-05-04,119,50, ,14,4,3
2019-05-05,76,45, ,19,3,3
2019-05-06,70,52, ,16,4,3
2019-05-07,88,81, ,23,8,7
2019-05-08,123,84, ,28,6,6
2019-05-09,149,72, ,20,8,7
2019-05-10,132,77, ,31,7,11
2019-05-11,151,204, ,25,6,9
2019-05-12,167,63, ,15,4,2
2019-05-13,68,108, ,31,8,9
2019-05-14,131,103, ,12,6,8
2019-05-15,136,82, ,13,5,7
2019-05-16,142,71, ,15,5,7
2019-05-17,129,34, ,17,5,7
2019-05-18,76,74, ,13,4,5
2019-05-19,89,56, ,13,3,3
2019-05-20,52,58, ,22,4,3
2019-05-21,69,55, ,31,5,4
2019-05-22,81,78, ,32,9,12
2019-05-23,131,70, ,12,7,4
2019-05-24,86,74, ,26,7,10
2019-05-25,118,55, ,22,5,10
2019-05-26,107,19, ,10,3,2
2019-05-27,32,44, ,18,5,3
2019-05-28,59,68, ,19,9,6
2019-05-29,110,52, ,14,6,4
2019-05-30,74,38, ,16,4,2
2019-05-31,59,61, ,21,9,5
2019-06-01,92,68, ,23,6,8
2019-06-02,113,54, ,15,6,8
2019-06-03,92,49, ,16,6,6
2019-06-04,124,69, ,22,10,15
2019-06-05,158,86, ,25,4,13
2019-06-06,163,63, ,22,4,8
2019-06-07,152,51, ,17,3,7
2019-06-08,108,33, ,13,3,3
2019-06-09,55,55, ,20,5,6
2019-06-10,108,47, ,18,5,8
2019-06-11,112,62, ,19,5,11
2019-06-12,133,53, ,23,4,10
2019-06-13,99,77, ,22,5,19
2019-06-14,164,48, ,16,7,8
2019-06-15,100,31, ,13,6,5
2019-06-16,66,52, ,18,9,9
2019-06-17,115,65, ,20,8,13
2019-06-18,138,59, ,14,5,8
2019-06-19,144,99, ,17,5,8
2019-06-20,155,49, ,14,6,7
2019-06-21,118,45, ,18,6,4
2019-06-22,69,62, ,25,8,11
2019-06-23,97,61, ,21,7,8
2019-06-24,113,67, ,13,8,10
2019-06-25,106,61, ,19,7,8
2019-06-26,99,66, ,15,7,8
2019-06-27,124,54, ,12,9,12
2019-06-28,103,48, ,12,6,6
2019-06-29,108,33, ,13,5,3
2019-06-30,48,53, ,18,6,5
2019-01-01,120,75, ,33,9,10
2019-01-02,145,116, ,51,11,18
2019-01-03,181,49, ,21,4,6
2019-01-04,96,28, ,21,3,3
2019-01-05,55,74, ,43,10,10
2019-01-06,134,67, ,33,6,9
2019-01-07,121,32, ,18,2,3
2019-01-08,53,60, ,30,8,8
2019-01-09,111,105, ,36,15,15
2019-01-10,168,166, ,46,14,24
2019-01-11,249,164, ,34,6,22
2019-01-12,275,158, ,34,4,23
2019-01-13,209,167, ,39,6,21
2019-01-14,230,49, ,11,2,2
2019-01-15,57,75, ,30,10,11
2019-01-16,127,88, ,38,13,11
2019-01-17,139,119, ,48,19,17
2019-01-18,176,36, ,19,4,5
2019-01-19,78,35, ,14,4,5
2019-01-20,66,66, ,27,9,9
2019-01-21,126,81, ,36,12,10
2019-01-22,147,53, ,23,5,6
2019-01-23,86,71, ,28,9,15
2019-01-24,152,34, ,13,2,3
2019-01-25,56,41, ,23,5,6
2019-01-26,76,84, ,27,10,9
2019-01-27,153,49, ,20,4,5
2019-01-28,81,89, ,43,14,13
2019-01-29,155,74, ,25,4,9
2019-01-30,117,56, ,10,3,5
2019-01-31,55,92, ,15,9,10
2019-02-01,147,100, ,15,4,12
2019-02-02,172,102, ,7,2,5
2019-02-03,143,114, ,12,5,8
2019-02-04,158,131, ,11,6,12
2019-02-05,169,57, ,7,7,9
2019-02-06,112,29, ,6,1,3
2019-02-07,47,50, ,9,3,5
2019-02-08,77,22, ,4,2,3
2019-02-09,52,48, ,15,5,6
2019-02-10,88,83, ,19,6,9
2019-02-11,139,50, ,9,4,8
2019-02-12,88,74, ,15,6,8
2019-02-13,106,50, ,17,4,8
2019-02-14,106,21, ,7,2,4
2019-02-15,67,13, ,5,2,4
2019-02-16,37,18, ,11,2,4
2019-02-17,43,78, ,34,8,11
2019-02-18,164,67, ,17,2,10
2019-02-19,205,94, ,21,2,6
2019-02-20,193,143, ,34,3,13
2019-02-21,261,183, ,52,5,21
2019-02-22,345,139, ,50,8,17
2019-02-23,244,155, ,50,12,19
2019-02-24,244,68, ,31,13,16
2019-02-25,145,54, ,30,7,14
2019-02-26,122,78, ,31,8,11
2019-02-27,163,113, ,44,9,12
2019-02-28,207,121, ,49,8,10
2019-03-01,217,99, ,33,8,9
2019-03-02,199,105, ,29,7,9
2019-03-03,204,107, ,36,6,16
2019-03-04,208,60, ,24,4,10
2019-03-05,147,40, ,14,1,2
2019-03-06,56,56, ,21,2,5
2019-03-07,112,65, ,22,5,4
2019-03-08,138,69, ,32,5,5
2019-03-09,149,78, ,40,6,10
2019-03-10,166,55, ,18,2,5
2019-03-11,115,27, ,12,1,2
2019-03-12,40,32, ,17,2,3
2019-03-13,53,54, ,22,5,12
2019-03-14,84,36, ,15,2,4
2019-03-15,48,61, ,25,4,7
2019-03-16,103,75, ,29,5,13
2019-03-17,148,101, ,26,8,9
2019-03-18,174,79, ,19,6,6
2019-03-19,148,71, ,28,4,9
2019-03-20,111,41, ,15,1,4
2019-03-21,52,44, ,20,2,4
2019-03-22,73,33, ,11,2,2
2019-03-23,49,73, ,19,5,4
2019-03-24,120,69, ,24,4,5
2019-03-25,121,91, ,32,7,18
2019-03-26,170,86, ,29,9,14
2019-03-27,142,41, ,25,7,7
2019-03-28,65,94, ,24,10,8
2019-03-29,97,39, ,11,5,9
2019-03-30,43,37, ,18,2,6
2019-03-31,63,58, ,21,10,16
2018-10-01,63,47, ,18,2,6
2018-10-02,67,65, ,22,3,7
2018-10-03,96,74, ,22,6,12
2018-10-04,138,80, ,34,4,9
2018-10-05,149,53, ,16,2,6
2018-10-06,86,59, ,17,4,7
2018-10-07,82,70, ,23,4,7
2018-10-08,114,35, ,10,1,6
2018-10-09,54,37, ,12,2,7
2018-10-10,64,41, ,14,2,7
2018-10-11,66,78, ,23,7,11
2018-10-12,161,102, ,41,8,15
2018-10-13,178,106, ,36,8,14
2018-10-14,192,109, ,35,7,18
2018-10-15,204,59, ,22,5,19
2018-10-16,160,72, ,22,7,16
2018-10-17,151,83, ,29,5,12
2018-10-18,157,84, ,32,7,13
2018-10-19,161,89, ,39,10,16
2018-10-20,177,97, ,39,7,15
2018-10-21,186,98, ,27,6,14
2018-10-22,184,61, ,22,5,11
2018-10-23,102,93, ,32,8,15
2018-10-24,165,105, ,30,4,15
2018-10-25,188,47, ,8,1,3
2018-10-26,67,51, ,19,4,8
2018-10-27,87,43, ,11,1,3
2018-10-28,58,32, ,15,2,4
2018-10-29,57,44, ,19,2,5
2018-10-30,77,67, ,17,5,8
2018-10-31,120,92, ,30,7,13
2018-11-01,167,85, ,38,10,17
2018-11-02,180,95, ,43,6,12
2018-11-03,189,107, ,24,2,17
2018-11-04,184,41, ,12,2,7
2018-11-05,87,51, ,15,2,7
2018-11-06,88,74, ,25,4,11
2018-11-07,135,80, ,25,6,12
2018-11-08,164,56, ,18,2,7
2018-11-09,124,58, ,21,7,10
2018-11-10,94,58, ,20,4,10
2018-11-11,125,86, ,24,6,15
2018-11-12,182,113, ,32,7,20
2018-11-13,216,72, ,29,3,22
2018-11-14,201,83, ,14,2,12
2018-11-15,166,49, ,13,2,7
2018-11-16,80,72, ,20,6,13
2018-11-17,159,78, ,25,4,10
2018-11-18,122,103, ,25,8,16
2018-11-19,180,113, ,25,6,18
2018-11-20,191,73, ,14,4,9
2018-11-21,110,79, ,19,4,12
2018-11-22,157,88, ,22,8,24
2018-11-23,173,92, ,20,7,14
2018-11-24,181,137, ,52,11,19
2018-11-25,241,163, ,45,5,22
2018-11-26,339,134, ,30,3,11
2018-11-27,195,128, ,32,7,15
2018-11-28,165,84, ,24,8,15
2018-11-29,150,104, ,31,5,12
