일자,요일,city,교통량
20180101.0,월,강남구,1509.5598323792929
20180101.0,월,강동구,1997.4667255210672
20180101.0,월,강서구,1399.8497982019458
20180101.0,월,관악구,972.7291666666665
20180101.0,월,광진구,1055.8125
20180101.0,월,구로구,616.9520745850365
20180101.0,월,금천구,987.3550695912616
20180101.0,월,노원구,1226.6083333333331
20180101.0,월,도봉구,970.8612096614132
20180101.0,월,동대문구,2527.4166666666665
20180101.0,월,동작구,3148.625
20180101.0,월,마포구,3202.821006944444
20180101.0,월,서대문구,1010.2291666666666
20180101.0,월,서초구,1743.0679487179484
20180101.0,월,성동구,1304.7953525641028
20180101.0,월,성북구,1437.9583333333333
20180101.0,월,송파구,1204.0667517006802
20180101.0,월,양천구,1694.5636332742354
20180101.0,월,영등포구,1261.089790324745
20180101.0,월,용산구,1475.2857142857142
20180101.0,월,은평구,892.9027777777777
20180101.0,월,종로구,776.9577685951389
20180101.0,월,중구,658.0813464506174
20180101.0,월,중랑구,1659.2851562500002
20180102.0,화,강남구,1888.844416371158
20180102.0,화,강동구,1986.9792828701393
20180102.0,화,강서구,1585.6213671754545
20180102.0,화,관악구,1197.0208333333335
20180102.0,화,광진구,1538.4166666666665
20180102.0,화,구로구,724.4286250182989
20180102.0,화,금천구,1219.9434842472342
20180102.0,화,노원구,1377.1
20180102.0,화,도봉구,1056.333278404868
20180102.0,화,동대문구,2666.0416666666665
20180102.0,화,동작구,3450.6874999999995
20180102.0,화,마포구,3453.6223501103223
20180102.0,화,서대문구,1278.8645833333333
20180102.0,화,서초구,2114.498517006802
20180102.0,화,성동구,1684.3146666666667
20180102.0,화,성북구,1663.4
20180102.0,화,송파구,1460.4702380952383
20180102.0,화,양천구,1938.8211616756867
20180102.0,화,영등포구,1610.7817527822665
20180102.0,화,용산구,1726.9285714285713
20180102.0,화,은평구,1050.5
20180102.0,화,종로구,959.1930792170181
20180102.0,화,중구,916.0708705357143
20180102.0,화,중랑구,1796.8052883132905
20180103.0,수,강남구,1931.4716475254227
20180103.0,수,강동구,1997.6647700009123
20180103.0,수,강서구,1622.0299871145733
20180103.0,수,관악구,1266.6666666666665
20180103.0,수,광진구,1648.0
20180103.0,수,구로구,743.7896210078061
20180103.0,수,금천구,1188.7373032514477
20180103.0,수,노원구,1404.3083333333332
20180103.0,수,도봉구,1068.4674968645486
20180103.0,수,동대문구,2729.833333333333
20180103.0,수,동작구,3577.3333333333335
20180103.0,수,마포구,3514.04548640534
20180103.0,수,서대문구,1335.4270833333335
20180103.0,수,서초구,2105.496930272109
20180103.0,수,성동구,1755.5967585034014
20180103.0,수,성북구,1724.5416666666665
20180103.0,수,송파구,1506.0901360544217
20180103.0,수,양천구,1988.304830735713
20180103.0,수,영등포구,1653.3016352273598
20180103.0,수,용산구,1838.9583333333333
20180103.0,수,은평구,1081.2777777777778
20180103.0,수,종로구,990.6939860253287
20180103.0,수,중구,956.3865327380951
20180103.0,수,중랑구,1807.7872886473433
20180104.0,목,강남구,2011.6107826181753
20180104.0,목,강동구,2024.6600169172173
20180104.0,목,강서구,1605.560054669031
20180104.0,목,관악구,1277.333333333333
20180104.0,목,광진구,1703.2083333333333
20180104.0,목,구로구,755.3558135704875
20180104.0,목,금천구,1276.5562752712326
20180104.0,목,노원구,1405.2666666666669
20180104.0,목,도봉구,1081.3070903010034
20180104.0,목,동대문구,2706.583333333333
20180104.0,목,동작구,3654.125
20180104.0,목,마포구,3572.5120081412842
20180104.0,목,서대문구,1347.0416666666665
20180104.0,목,서초구,2182.3630669934637
20180104.0,목,성동구,1792.6285816993463
20180104.0,목,성북구,1730.675
20180104.0,목,송파구,1530.5841836734692
20180104.0,목,양천구,1999.2169352257044
20180104.0,목,영등포구,1686.9120559154346
20180104.0,목,용산구,1843.0357142857142
20180104.0,목,은평구,1079.1250000000002
20180104.0,목,종로구,1000.8328014733424
20180104.0,목,중구,965.3814263668431
20180104.0,목,중랑구,1815.0595513413505
20180105.0,금,강남구,2047.19653733009
20180105.0,금,강동구,2096.6685718201293
20180105.0,금,강서구,1643.1497088425888
20180105.0,금,관악구,1311.1041666666665
20180105.0,금,광진구,1700.1874999999998
20180105.0,금,구로구,779.7057829197774
20180105.0,금,금천구,1312.4845631464505
20180105.0,금,노원구,1450.5666666666666
20180105.0,금,도봉구,1113.9376896684234
20180105.0,금,동대문구,2748.0
20180105.0,금,동작구,3758.9791666666665
20180105.0,금,마포구,3634.41472071722
20180105.0,금,서대문구,1394.8854166666667
20180105.0,금,서초구,2249.0559951171963
20180105.0,금,성동구,1832.3041222456372
20180105.0,금,성북구,1770.85
20180105.0,금,송파구,1578.2777777777778
20180105.0,금,양천구,2024.1526937979284
20180105.0,금,영등포구,1727.701293284453
20180105.0,금,용산구,1891.8273809523812
20180105.0,금,은평구,1113.3888888888887
20180105.0,금,종로구,1027.7129908798736
20180105.0,금,중구,983.9187417328043
20180105.0,금,중랑구,1889.3416994743598
20180106.0,토,강남구,1835.010888384594
20180106.0,토,강동구,1948.094214543521
20180106.0,토,강서구,1534.7482171308636
20180106.0,토,관악구,1258.5
20180106.0,토,광진구,1533.4374999999998
20180106.0,토,구로구,730.9452989718615
20180106.0,토,금천구,1157.1300201288245
20180106.0,토,노원구,1433.3333333333333
20180106.0,토,도봉구,1046.881109682969
20180106.0,토,동대문구,2894.083333333333
20180106.0,토,동작구,3585.9375
20180106.0,토,마포구,3562.374657796157
20180106.0,토,서대문구,1300.760416666667
20180106.0,토,서초구,1976.682247192671
20180106.0,토,성동구,1692.3193176669374
20180106.0,토,성북구,1690.1
