일자,요일,city,교통량
20170107,토,서초구,2282.06060885
20170107,토,성동구,1780.2966038
20170107,토,성북구,1688.5083333399998
20170107,토,송파구,1575.4979282
20170107,토,양천구,2085.42776
20170107,토,영등포구,1753.69236075
20170107,토,용산구,1875.9464285714287
20170107,토,은평구,1217.9762369666666
20170107,토,종로구,937.7252639800002
20170107,토,중구,889.3809855800001
20170107,토,중랑구,1610.526713
20170108,일,강남구,1815.8377730000002
20170108,일,강동구,1652.6388887666665
20170108,일,강서구,996.5625001750001
20170108,일,관악구,1102.2291668500002
20170108,일,광진구,1123.7083335000002
20170108,일,구로구,574.4963439999999
20170108,일,금천구,1084.0263276
20170108,일,노원구,1506.7941578000002
20170108,일,도봉구,943.17859915
20170108,일,동대문구,2755.541667
20170108,일,동작구,3188.5833329999996
20170108,일,마포구,3056.5520834999998
20170108,일,서대문구,1153.45262825
20170108,일,서초구,2030.0723100799994
20170108,일,성동구,1466.029892
20170108,일,성북구,1524.4833332599999
20170108,일,송파구,1304.52247494
20170108,일,양천구,1817.433796425
20170108,일,영등포구,1475.640428525
20170108,일,용산구,1637.0654762428571
20170108,일,은평구,1028.2668330333333
20170108,일,종로구,839.97038044
20170108,일,중구,734.3609369533333
20170108,일,중랑구,1422.8827687
20170109,월,강남구,2199.290521111111
20170109,월,강동구,1800.2361110000002
20170109,월,강서구,1264.25
20170109,월,관악구,1256.35416665
20170109,월,광진구,1517.5416665
20170109,월,구로구,699.4413455400002
20170109,월,금천구,1304.850109425
20170109,월,노원구,1619.4308340000002
20170109,월,도봉구,1134.6305145000001
20170109,월,동대문구,2820.416667
20170109,월,동작구,3549.1875
20170109,월,마포구,3395.94791675
20170109,월,서대문구,1340.920732
20170109,월,서초구,2352.3019092700006
20170109,월,성동구,1764.3305438000002
20170109,월,성북구,1715.4873114399998
20170109,월,송파구,1522.3819445400002
20170109,월,양천구,2043.5378915000001
20170109,월,영등포구,1833.16919625
20170109,월,용산구,1860.6309522428571
20170109,월,은평구,1154.6489965333333
20170109,월,종로구,1008.3484387100001
20170109,월,중구,995.0156756616669
20170109,월,중랑구,1640.7424525000001
20170110,화,강남구,2257.7240636666666
20170110,화,강동구,1818.6944446666666
20170110,화,강서구,1329.9583335000002
20170110,화,관악구,1309.1420453
20170110,화,광진구,1628.4791665
20170110,화,구로구,718.7775286599999
20170110,화,금천구,1344.0506919
20170110,화,노원구,1665.6006902399997
20170110,화,도봉구,1149.0637255
20170110,화,동대문구,2817.625
20170110,화,동작구,3726.125
20170110,화,마포구,3508.21875
20170110,화,서대문구,1356.0303912499999
20170110,화,서초구,2404.90398223
20170110,화,성동구,1828.8296839999998
20170110,화,성북구,1743.1003875400002
20170110,화,송파구,1582.21339054
20170110,화,양천구,2121.684040825
20170110,화,영등포구,1901.4779662500002
20170110,화,용산구,1950.8392857714284
20170110,화,은평구,1168.9584318666666
20170110,화,종로구,1061.67728385
20170110,화,중구,1016.5748286441667
20170110,화,중랑구,1683.738548
20170111,수,강남구,2253.8551156666667
20170111,수,강동구,1836.1944444333333
20170111,수,강서구,1268.7499999
20170111,수,관악구,1328.55722505
20170111,수,광진구,1637.0625
20170111,수,구로구,735.66897184
20170111,수,금천구,1350.4781741
20170111,수,노원구,1667.2342510000003
20170111,수,도봉구,1166.1716059999999
20170111,수,동대문구,2894.208333
20170111,수,동작구,3664.0833335
20170111,수,마포구,3421.875
20170111,수,서대문구,1379.426576675
20170111,수,서초구,2372.90873137
20170111,수,성동구,1842.5064692
20170111,수,성북구,1747.6083334
20170111,수,송파구,1588.94765294
