"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"3832",23,11,0.034,0.018,0.4,0.004,22.9,16.9,28.4,0,5.5,1.2,255.9,47,22,30,13,1,4,48,29,34,14,5,10,78,34,76,7,3,2,51,27,44,9,4,5,47,44,36,20,15,9,77.74,45.07,43.56,17.87,4.15,7.3,1153.84147
"6327",29,9,0.027,0.016,0.4,0.004,-13,-14.8,-10.1,0,10.8,3.2,326.3,48,20,29,15,3,4,66,37,26,13,17,8,1,1,20.51,9.9,6.14,5.41,80,13,27,14,2,3,57,40,21,20,28,5,112,53,25.15,29,11,14,1638.490036
"11713",43,28,0.01,0.043,0.8,0.005,-3.8,-7.9,1.1,0,7.7,2.3,267.2,90,30,27,5,2,2,66,62,30,16,14,9,94,74,24,17,8,8.14,194,77,35,37,12,11,172,42,23,17,17,6,135,31,28.33,10,7,7,3557.200593
"6374",29,18,0.02,0.023,0.3,0.005,29.1,25.1,33.6,0,5.5,1.6,165.9,58,14,27,15,1,6,57,33,33,6,4,4,39,30,25,4,1,3.38,50,24,30.47,7,2,3,62,22,30,8,13,5,100,51,52.46,12,1,8,1267.510271
"21252",37,0.005,14,0.02,0.028,0.6,2.9,-3.8,12.4,0,3.7,0.5,300.9,121,71,12,34,2,11,119,76,51,21,12,14,74,107,63,37,8,9.86,53,24,37,18,4,5,137,79,14,32,26,14,130,109,29.01,41,5,16,1187.49608739837
"13749",50,33,0.01,0.049,0.7,0.007,-4.3,-9.9,1.6,0,3.5,1,264.4,244,130,22,27,16,24,139,75,39,9,11,13,144,89,36,5,10,7,153,51,45,23,8,6,194,100,33,17,23,8,325,167,17,37,18,35,1193.675905
"21050",31,0.003,21,0.005,0.039,0.8,5.7,1.9,11.975,0,4.075,1.25,124,135,142,21,17,4,9,52,37,30,11,5,5,101,58,41,22,2,6.52,78,43,32,23,5,7,143,58,6,29,18,11,104,136,31.42,19,6,11,941.679907407407
"14375",52,29,0.045,0.036,0.4,0.004,20.6,12.4,27.4,0,5.8,1,275.6,382,466,42,10,4,2,88,73,41,10,4,7,62,103,38,12,1,6,76,48,23,20,3,7,129,104,38,15,3,5,292,458,41,18,4,10,3620.75
"13323",48,34,0.024,0.033,0.4,0.005,3.3,-2.5,8.7,0,5.6,1,244.7,176,70,28,19,10,12,144,50,44,17,10,11,151,89,39,17,3,6.71,125,57,55,27,5,5,145,64,26,35,32,12,152,69,31.08,28,8,11,1169.069444
"20202",30,0.004,22,0.016,0.023,0.5,-2.3,-5.275,2.175,0,5.625,1.325,299.175,64,56,6,30,3,9,66,80,21,24,11,12,157,94,26,32,7,9.78,119,32,25,26,3,7,134,55,13,25,15,8,94,67,24.19,33,5,8,1031.6439788896
"844",10,6,0.04,0.013,0.3,0.003,6.6,3.1,11.3,0,7.2,1.7,50.6,88,55,12,30,4,7,98,50,33,31,16,8,65,41,40,3,3,4.41,82,34,40,13,3,2,104,67,25,33,31,14,104,52,26.57,35,4,12,1454.520833
"7711",33,18,0.015,0.023,0.5,0.006,-1.7,-7.4,4,0,8.1,1.3,315,213,97,23,33,14,19,102,59,31,28,21,16,117,104,40,19,18,9,156,55,43,35,8,7,210,102,24,35,80,16,190,128,21,47,31,34,576.2221467
"9154",36,16,0.021,0.025,0.4,0.004,-0.1,-3.5,4,0,6.8,1.7,30.9,115,40,34,14,5,4,136,114,39,24,17,19,72,88,30,9,5,7.35,102,47,33,19,4,7,162,76,26,27,30,18,156,75,29.57,31,16,14,1885.64881
"127",0,0,0,0,0,0,5.1,-0.3,10.4,0,4.6,1.5,244.7,117,56,19,24,5,6,100,43,38,17,14,11,96,34,29,8,3,4.52,64,26,34,17,3,3,82,61,12,30,33,11,96,53,32.49,26,9,10,1894.095238
