"","미세먼지.....","초미세먼지.....","오존.ppm.","이산화질소농도.ppm.","일산화탄소농도.ppm.","아황산가스농도.ppm.","평균기온..C.","최저기온..C.","최고기온..C.","일강수량.mm.","최대.순간.풍속.m.s.","평균.풍속.m.s.","최대.순간.풍속.풍향.deg.","beijing_pm25","beijing_pm10","beijing_o3","beijing_no2","beijing_so2","beijing_.co","dalian_pm25","dalian_pm10","dalian_o3","dalian_no2","dalian_so2","dalian_co","qingdao_pm25","qingdao_pm10","qingdao_o3","qingdao_no2","qingdao_so2","qingdao_co","shanghai_pm25","shanghai_pm10","shanghai_o3","shanghai_no2","shanghai_so2","shanghai_co","shenyang_pm25","shenyang_pm10","shenyang_o3","shenyang_no2","shenyang_so2","shenyang_co","tianjin_pm25","tianjin_pm10","tianjin_o3","tianjin_no2","tianjin_so2","tianjin_co","교통량"
"17803",70,32,0.083,0.026,0.4,0.009,22,18.3,27.2,0,7.6,1.8,278.4,89,61,85.18,20,1,7,87,50,63,9,6,9,129,55,75,6,3,3,65,37,69,8,4,4,125,45,74,16,5,5,94,56,80,17,4,9,1272.84375
"16120",59,38,0.02,0.04,0.6,0.004,8.3,6,12.3,0,6.3,1.6,16.9,172,42,39,23,2,6,105,78,35,21,12,12,30,71,47,1,3,5.4,88,34,32,18,3,5,166,52,35,21,11,11,171,75,37.81,31,6,12,1685.32993341167
"18262",74,40,0.01,0.043,0.7,0.005,-3,-5.8,0.9,0,6.71462878787879,1.3,253.623883333333,89,23,21,19,1,3,67,42,19,17,15,8,111,4,1,1,8.48,6.47,75,55,21,27,5,9,192,58,8,28,26,11,138,43,23.39,31,11,12,1643.149709
"28493",166,0.007,146,0.003,0.061,1.4,2.1,-1.4,4.9,0,4,0.6,292.5,207,62,24,6,1,3,164,66,23,9,5,5,328,109,27,26,6,8.7,164,78,37,26,5,12,223,72,19,12,11,7,230,49,34.89,11,2,2,1938.3622369281
"27141",39,0.004,18,0.023,0.036,0.5,5.9,0.1,9.7,0,5.6,1.8,191.3,34,48,32,6,1.24,1,60,52,31,16,7,5,119,62,39,22,4,4.61,75,55,44,28,4,7,98,44,25,24,8,6,84,36,36.74,15,2,4,1248.94871794872
"24628",20,0.003,16,0.031,0.021,0.5,25.6,19.9,31.5,0,6.4,1.7,239.1,114,76,128,13,8,7,81,44,55,3,4,4,58,34,45,2,1,3.6,107,26,35,9,1,3,107,40,58,9,8,3,113,67,92.56,13,8,10,1607.5625
"355",6,4,0.027,0.017,0.3,0.002,17.3,15.7,19.5,33,8.8,3.5,59.1,161,18,25,7,1,3,79,51,31,13,4,6,80,74,142,19,5,7.1,72,38,49,12,3,4,125,54,22,24,8,11,149,53,51.87,16,2,6,1825.741873
"27946",77,0.005,28,0.011,0.04,0.6,2,-4,9.1,0,6.4,1,261.6,179,80,36,10,8,12,172,96,29,13,10,11,141,125,29,16,4,6.71,76,58,36,15,3,6,169,66,27,7,9,6,169,57,32.72,7,7,9,1861.08333333333
"15538",57,41,0.005,0.055,1.1,0.006,1.2,-4.6,9.4,0,3.2,0.7,33.8,244,105.94,20,13,4,5,148,67,29,20,18,14,116,59,25,8,9,5,67,66,4,24,6,15,261,141,8,43,59,16,233,105,15,26,11,23,1691.250309
"23558",23,0.003,16,0.032,0.008,0.4,30.5,25.5,37,0,5.9,0.8,81.6,132,32,88,11,1,5,92,43,45,5,2,5,45,23,24,6,2,3.82,71,42,34,9,2,4,128,53,43,13,10,9,121,42,73.62,18,3,9,1057.29166666667
"4569",25,15,0.013,0.021,0.2,0.007,27,24.7,29.7,27,9.6,2.2,213.8,98,46,118,16,1,5,90,44,89,6,2,9,61,50,67,9,3,5,78,42,70,16,4,5,70,44,67,9,5,6,115,57,93,15,3,6,1328.375
"10103",39,21,0.017,0.027,0.5,0.004,1.5,-1.9,4.2,2.5,6.2,0.7,165.9,141,29,31,13,3,4,111,22,35,13,11,6,119,78,37,13,14,8,134,66,37,17,6,8,126,33,31,19,22,4,168,36,29,18,7,8,1113.583333
"19410",99,84,0.009,0.054,0.9,0.005,3.5,0.7,8,0,5.53868888888889,1.2,247.953825454545,107,70,5,42,6,10,130,95,21,27,15,18,1,1,20.82,22.1,9.83,8.56,176,68,27,28,3,7,178,91,10,31,34,17,135,76,19.6,32,12,12,1612.741786
"2187",17,9,0.019,0.022,0.3,0.003,20,18.1,23.4,0,7.5,1.9,11.3,53,64,59,22,1,7,32,36,49,10,5,6,42,32,42,14,2,5,64,30,38,9,3,4,42,37,27,19,7,6,81.1,56.44,65.36,20.79,5.67,10.26,1981.208333
"12147",44,18,0.013,0.044,0.4,0.003,21.8,18.7,27.1,0,3.6,1.2,137.8,81,62,53,22,2,7,113,34,63,10,4,7,85,27,45,19,2,6.15,98,37,24,28,2,6,132,65,61,28,12,12,170,69,63.41,21,4,14,2199.493246
"27423",78,0.004,57,0.023,0.04,0.8,3.7,-0.275,10.075,0,6.4,1.325,284.875,151,68,28,28,5,9,117,55,18,33,22,11,169,49,33,25,5,6.17,191,50,39,22,2,4,97,75,35,27,17,10,145,54,31.49,30,7,14,968.90374907715
"13376",48,32,0.008,0.053,1,0.007,-3.7,-7.5,1,0,6.2,1.8,309.4,37,20,25,8,2,2,93,34,30,8,11,7,126,46,29,10,10,5.07,177,31,29,12,5,5,82,41,19,17,19,7,34,28,26.18,24,8,9,1030.974207
"1903",15,7,0.017,0.02,0.3,0.003,17,13.7,20.6,0,4.3,1.1,81.6,131,15,26,13,7,5,78,52,77,11,5,8,60,75,97,34,10,7.71,59,25,41,8,3,3,77,32,19,21,9,8,144,32,44.44,15,2,7,1930.032389
"17329",66,52,0.007,0.036,0.7,0.006,1.6,-3.1,5.8,0,7.4,1.7,163.1,183,45,17,25,4,8,156,70,23,26,19,11,1,1,19.07,19.22,11.1,8.82,93,41,20,36,7,7,155,42,13,23,28,8,198,57,21.27,32,11,13,1378.798056
"24243",12,0.004,5,0.025,0.011,0.2,22.9,19.6,28.5,15,5.8,1.3,95.6,153,37,78,10,1,4,43,19,47,4,3,4,60,45,56,8,2,4.26,65,42,47,21,2,6,115,34,41,11,5,6,111,40,65.04,15,2,5,1991.69166666667
"4288",24,14,0.018,0.023,0.4,0.004,-0.8,-4.9,2.9,0,6.8,1.8,357.2,172,92,10,43,6,16,72,41,23,20,18,9,100,87,22,27,15,11,90,20,30,16,4,5,96,56,2,23,50,16,146.26,101.31,15.15,34.4,17.84,19.53,1105.32622
"3893",23,11,0.018,0.026,0.4,0.004,15.3,9.6,21.1,0,6.2,1.4,50.6,117,50,24,22,2,8,48,39,29,15,6,10,60,69,38,27,7,8,42,11,37,7,3,5,123,51,23,28,5,10,128.08,66.16,44.42,24.07,5.25,11.13,2816.833333
"27187",56,0.005,36,0.032,0.025,0.4,6.8,2.7,13,0,8.8,2.4,225,66,75,39,27,5,7,78,66,50,17,8,7,98,65,51,31,8,6.64,140,40,38,17,2,4,137,84,36,31,24,16,112,65,35.61,22,5,4,746.770833333333
"24176",13,0.003,7,0.026,0.012,0.5,23.9,19.3,29.8,0,5.9,1,275.6,78,73,113,18,2,9,75,31,61,6,3,6,108,95,107,18,3,5.85,97,16,38,9,2,4,137,40,51,17,7,8,126,65,95.42,22,4,12,1446.6875
"18018",72,37,0.017,0.047,0.8,0.005,9.9,6.6,14.6,0,4.6,1,320.6,156,26,40,14,1,5,129,65,45,20,14,11,70,52,33,7,1,4,128,67,37,26,8,8,171,96,43,37,49,12,134,48,31,22,8,12,1955.103363
"25848",29,0.003,9,0.041,0.011,0.3,13.35,8.3,19.625,0,9.55,2.4,212.7,79,50,52,16,1,2,103,63,87,14,8,7,67,81,73,28,6,6.28,120,47,48,13,2,3,91,44,38,15,8,7,70,52,53.57,16,4,3,807.750086805556
"1528",14,7,0.057,0.02,0.3,0.003,23.8,17.1,29.8,0,7.3,1.6,202.5,146,50,38,14,1,4,70,31,57,13,6,10,44,15,56,5,2.57,5,58,39,44,12,2,4,102,64,46,19,16,7,122,48,39,18,3,8,1749.16903631255
"24208",7,0.003,2,0.026,0.004,0.3,21.3,18.9,25.5,2,6.7,1.6,2.8,87,45,113,13,1,4,52,23,71,6,3,5,86,83,91,15,4,6.51,136,34,32,16,3,5,98,38,43,12,6,7,94,53,85.34,15,4,7,1069.70833333333
"6505",30,19,0.024,0.027,0.4,0.005,0.7,-3.2,4.1,0,7.8,2,326.3,78,18,32,14,3,3,84,44,31,22,18,10,113,109,37,31,17,12,132,63,48,39,8,8,138,44,26,29,37,6,134,32,29,23,9,6,2228.391115
"12183",45,28,0.01,0.042,0.8,0.005,-2.8,-7.9,2.1,0,3.6,0.9,289.7,174,106,7,42,14,22,100,68,27,24,24,15,135,90,25,24,16,8,77,46,18,31,7,7,194,119,6,41,82,18,158,82,5,30,21,23,1606.603879
"15483",56,35,0.01,0.038,0.5,0.005,1.3,-3.1,5.1,0,3.6,0.9,317.8,103,44,26,13,3,5,73,73,23,15,12,11,1,1,24.8,14.7,6.27,7.39,117,39,29,30,3,8,110,35,18,13,13,5,91,54,29.16,23,13,18,1580.190476
"20457",70,0.004,55,0.007,0.047,0.9,7.9,5.5,11.3,2.5,4,0.7,210.9,154,18,22,13,2.57,2,185,44,21,17,8,6,252,106,19,30,9,10.82,163,92,36,47,7,12,219,47,13,19,8,6,168,32,30.74,16,2,5,1605.97916666667
"13544",49,22,0.047,0.019,0.4,0.002,19.8,14.9,26.3,0,6.1,1,315,113,70,104,18,1,4,78,72,141,17,10,10,69,79,123,18,7,9,61,39,64,22,3,3,126,74,130,27,14,15,128,67,82,18,11,9,1171.916667
"15269",55,14,0.019,0.033,0.4,0.004,-0.7,-7.5,4.9,0,7.6,1.8,253.1,130,38,31,13,4,4,101,57,39,11,13,8,102,78,26,12,9,6.24,99,59,46,29,5,6,121,60,27,19,21,10,173,48,29.04,14,12,9,1410.979167
"14912",54,40,0.052,0.022,0.7,0.007,30.4,27.7,33.5,0,5,1.5,149.1,72,32,32,16,1,6,92,30,57,8,3,11,100,66,123,18,6,6,105,61,112,21,4,6,49,39,16,26,5,3,70,44,29,20,7,12,1631.9
"23945",38,0.003,30,0.047,0.018,0.4,27.7,24.8,31.8,0,4.3,1.4,225,168,38,85,8,1.37,5,131,26,35,5,2,5,107,34,42,6,2,3.95,101,42,89,13,2,3,143,42,40,10,1,7,152,44,74.57,14,6,8,1436.49290268452
"19915",217,102,0.034,0.015,0.3,0.003,15.4,9.1,21.7,0,5.1,1,309.4,38,33,32,21,1,4,81,56,64,16,6,12,87,81,89,42,9,8.12,85,31,57,14,3,4,102,52,39,31,18,15,67,65,46.42,22,3,7,1413.385417
"20193",33,0.003,24,0.005,0.046,0.6,-1.4,-6.5,3.9,0,3.9,0.3,47.8,130,69,19,35,5,13,173,77,17,23,11,13,171,81,22,31,5,9.96,93,18,27,21,3,8,130,85,5,30,31,15,143,88,23.07,33,8,19,3717.02083333333
"25023",20,0.004,12,0.042,0.022,0.5,20.975,14.85,27.525,0,5.95,1.25,109.85,102,18,41,8,2.05,4,90,47,49,8,3,4,91,42,50,8,1,3.85,85,31,68,8,1,4,65,21,51,13,3,5,108,33,48.81,13,3,3,911.478716931217
"19459",101,47,0.065,0.032,0.5,0.008,19.5,13.3,27.7,0,5.7,1.5,123.8,115,97,108,23,7,7,63,64,61,10,7,7,94,82,40,12,4,3,96,26,42,14,2,4,127,60,66,15,8,6,139,67,97,35,15,17,1078.947917
"21617",28,0.003,11,0.018,0.017,0.4,16,11.7,21.7,0,5.5,1.5,185.6,71,50,16,23,2,6,31,22,27,13,4,3,67,52,31,28,6,6.21,123,36,30,12,3,5,36,42,16,24,9,5,38,63,46.6,22,4,7,1277.125
"9860",38,28,0.005,0.045,0.6,0.004,3.2,-2.1,9,0,3.6,1,47.8,152,66,22,20,3,9,72,80,39,13,9,11,75,83,45,12,7,10,102,61,28,39,5,8,100,69,18,17,13,7,134.75,76.64,32.14,25.2,9.39,12.39,1940.113095
"6199",29,15,0.008,0.038,0.6,0.004,20.9,18.8,24.8,1.5,2.9,0.9,317.8,57,58,71.12,20.05,1.56,6.83,75,36.41,55.56,10.94,5.05,7.66,48,36.5,52.06,11.61,2.58,4.52,119,41.86,51.49,13.69,3.45,5.45,113,41.83,48.7,19.04,7.32,6.71,99.06,55.73,64.82,18.91,5.54,9.8,2232.366667
"3491",22,11,0.021,0.019,0.6,0.003,26,22.7,28.9,0,4.1,1,115.3,118,56,63,20,1,12,76,28,43,5,5,9,48,30,49,8,3,2,96,24,30,16,3,5,83,45,61,18,6,7,118,62,91,16,6,13,1563.75072
"1877",15,6,0.028,0.015,0.6,0.003,24.1,21.3,27.9,0,9,2.1,309.4,29,31,51,14,2,3,88,27,43,14,6,10,75,56,83,35,11,6.09,117,58,114,18,5,7,43,22,28,16,6,5,40,50,57.92,19,3,8,1546.875
"13587",49,30,0.017,0.044,0.8,0.007,15.9,10.1,22.4,0,5.9,1.6,112.5,79,18,23,13,1,2,149,40,25,8,4,5,137,82,39,10,4,7,104,59,38,13,4,7,110,44,17,18,7,3,121.86,42.95,39.38,14.64,3.15,6.43,793.1352514
"16332",60,30,0.023,0.044,0.5,0.003,20,12.3,27.8,0,4.7,1.5,177.2,121,39,43,19,1,2,137,37,47,5,4,5,90,59,40,17,5,5.8,155,84,50,28,6,7,104,45,33,25,10,9,112,47,56.8,17,7,6,1269.083333
"10317",39,27,0.035,0.032,0.5,0.004,14.4,7.2,22.7,0,7.5,1.3,199.7,168,117,55,23,2,6,139,70,44,22,6,7,150,91,76,23,7,8.08,91,70,113,30,6,6,129,61,40,19,6,3,176,113,50.62,21,12,10,3517.625
"3101",20,10,0.024,0.016,0.3,0.003,13.3,11,17.9,6,8.1,2.2,340.3,28,24,22,13,1,3,30,22,26,17,3,6,44,55,40,27,10,5.75,93,30,38,11,3,2,58,29,18,21,6,7,64,41,41.34,14,2,7,1256.746323
"13291",48,22,0.01,0.036,0.7,0.007,-0.2,-4.1,3.9,0,6.4,1.3,281.3,101,43,20,18,3,7,129,44,22,13,14,8,173,80,28,22,9,9,132,37,26,26,4,7,123,41,16,17,16,8,140,65,27.35,30,15,17,1659.285156
"28544",99,0.005,64,0.008,0.049,0.8,3.3,-1.1,7.7,0,4.8,1.2,298.1,282,210,28,33,3,16,232,192,30,35,13,23,254,243,17,50,10,15.38,120,65,18,28,4,10,275,137,13,29,15,20,275,158,20.64,34,4,23,2064.425
"20981",27,0.003,10,0.022,0.018,0.3,2.2,-0.4,4.9,0,10.4,2.6,337.5,71,91,5,36,5,10,49,40,26,11,6,5,116,104,33,31,7,10.15,103,68,31,21,3,5,52,50,9,25,23,10,81,97,24.38,36,9,12,1796.31666666667
"21773",22,0.002,10,0.023,0.023,0.4,16.8,12.3,22.6,0,4.4,0.8,25.3,201,100,25,22,1,8,178,89,68,11,5,11,171,81,88,21,5,7.86,115,52,64,26,4,6,170,101,51,20,11,12,179,107,46.92,23,3,10,2077.125
"9958",38,14,0.023,0.016,0.4,0.005,-6.1,-9.2,-3.1,0,10.9,2.8,8.4,27,22,22,11,2,3,46,53,29,11,13,7,1,1,25.94,13.01,9.2,5.8,109,58,23,26,10,8,74,47,14,19,29,7,34,27,23.16,18,5,8,2576.5
"6451",29,15,0.011,0.038,0.3,0.003,8.7,3.4,14.3,0,4.8,1.2,317.8,176,104,12,39,2,17,160,106,28,32,12,19,112,91,74,44,12,11.35,66,34,36,15,2,3,149,59,15,26,19,14,182,113,29.27,32,7,20,2150.856486
"17224",66,43,0.003,0.057,1.4,0.008,-0.4,-5.3,4.3,0,3,0.9,272.8,203,49,14,28,6,8,161,84,18,24,25,13,141,110,16,24,19,10,127,38,32,24,6,5,200,95,13,31,48,12,172,83,14,34,22,22,1600.146724
"5868",28,9,0.02,0.024,0.5,0.003,14.4,10.9,18.3,0,6.3,1.9,16.9,84,61,28,25,1,9,88,57,72,19,6,12,46,52,44,21,7,7,107,42,42,17,5,6,137,94,23,43,21,17,117.74,72.32,37.83,27.07,8.76,10.92,1838.75
"10294",39,15,0.023,0.026,0.3,0.004,-0.8,-5.2,5.2,0,4.2,1.2,351.6,181,105,28,21,16,20,104,69,30,15,11,10,36,28,33,5,3,5.17,57,20,41,11,3,3,165,69,30,28,36,14,177,84,27.79,16,15,15,1035.9375
"2146",17,7,0.044,0.02,0.3,0.003,19.2,14.2,23.3,15,5.9,1.5,59.1,119,43,89,13,3,5,62,64,85,10,6,12,23,45,81,6,1,6,82,55,105,17,5,8,109,54,57,13,4,4,104,47,84,19,4,8,1854.74145488576
"9121",36,19,0.016,0.019,0.5,0.005,-10.2,-15.6,-5.1,0,6.5,1.1,292.5,48,47,6,26,3,7,53,45,17,22,20,9,63,68,17,24,11,7,293,34,33,17,3,5,84,84,9,26,39,13,77.03,68.58,16.25,29.08,11.64,13.11,1640.775
"23612",27,0.005,19,0.039,0.022,0.3,29.5,24.3,35.7,0,6,0.9,191.3,115,36,44,11,1,7,88,22,28,5,2,4,62,26,27,5,2,3.38,45,29,18,8,1,4,103,46,51,9,11,10,99,44,56.41,14,4,6,589.966997863248
"2827",19,11,0.027,0.017,0.4,0.002,17.1,11.3,23.5,0,7.2,1.3,56.3,51,59,58,24,5,9,117,34,47,8,4,7,126,67,104,29,15,7.7,84,30,55,9,3,3,121,64,44,31,19,14,96,74,56.49,22,6,12,1599.94962294328
"13173",48,35,0.021,0.034,0.7,0.004,4.5,0,8.9,0,6,1.4,303.8,80,93,21,34,9,13,81,55,35,17,17,11,72,61,33,14,11,6,186,49,42,30,7,5,131,64,31,28,61,13,132,78,30,35,26,15,1089.7173
"2845",19,7,0.018,0.027,0.4,0.003,11.8,4.9,20.6,0,4.4,0.8,320.6,116,64,30,34,3,8,77,55,49,20,6,11,79,59,62,37,6,8.65,67,25,36,19,3,3,168,105,27,39,19,16,161,89,39.81,39,10,16,3770.4375
"23922",47,0.003,35,0.043,0.022,0.4,24.8990357142857,20.90925,29.6725833333333,2.8735,6.87110714285714,1.72138333333333,211.426909090909,168,38,85,8,1.37,5,131,26,35,5,2,5,107,34,42,6,2,3.84,101,42,89,13,2,3,143,42,40,10,1,7,152,44,75.5,14,6,8,900.482638888889
"16595",62,33,0.043,0.038,0.5,0.005,20,12.7,26.1,0,4.9,1.5,8.4,382,466,42,10,4,2,88,73,41,10,4,7,62,103,38,12,1,6,76,48,23,20,3,7,129,104,38,15,3,5,292,458,41,18,4,10,1314.770834
"19128",89,78,0.003,0.066,1.1,0.008,3.9,1.3,6.5,0,3.3,0.9,47.8,114,71,24,26,6,9,155,83,22,26,12,14,1,1,20.93,18.81,8.78,8.67,132,80,22,31,4,10,150,98,2,30,41,16,107,76,21.06,33,10,14,1859.689713
"17793",70,25,0.037,0.03,0.6,0.006,17.9,10.9,25,0,6.6,1.7,236.3,105,117,68,20,3,4,121,95,74,17,8,8,130,108,107,17,7,7,140,61,97,25,7,6,136,105,40,13,3,3,112,89,56,16,8,10,1136.875
"8519",34,17,0.017,0.036,0.5,0.003,12.248,8.09055,18.3015095238095,0.00624999999999468,6.22625,1.38570454545455,273.600666666667,96,49,25,25,1,6,42,37,26,17,5,6,83,56,38,23,7,7.08,115,31,38,12,3,4,103,54,20,29,8,7,151,83,39.75,29,5,12,931.1293232
"17557",68,32,0.034,0.036,0.5,0.004,13.1,5.4,21.4,0,7.3,1.9,329.1,116,60,48,8,3,3,110,59,73,11,8,10,89,70,98,9,5,5,109,60,79,17,4,5,110,56,41,13,5,5,135,53,45,19,7,9,1408.395833
"8082",33,13,0.022,0.022,0.4,0.003,15.6,9.3,21.3,0,5.5,1.3,334.7,38,35,30,16,1,3,29,34,61,11,5,9,68,61,62,31,8,6.95,103,39,43,14,3,3,107,49,23,24,13,9,82,70,46.15,23,4,7,1100.34673
"14517",52,24,0.008,0.035,0.6,0.004,0.3,-3.4,5.3,0,8.5,1.7,326.3,166,70,21,17,7,12,110,45,34,13,21,7,128,46,31,4,5,4.59,65,43,48,13,4,5,126,48,28,15,17,7,186,54,32.77,16,21,15,1389.843254
"20418",25,0.003,17,0.013,0.023,0.4,0,-4.2,4.8,0,6.6,1.2,312.2,65,47,25,20,3,8,54,60,27,15,8,6,88,66,32,24,6,7.34,102,50,31,29,4,8,88,52,12,21,11,8,92,58,29.79,27,5,10,3769.16666666667
"9295",36,24,0.016,0.027,0.7,0.005,11.5,8.7,13.4,8.5,7.3,1.8,2.8,129,56,21,10,1,3,131,46,35,8,6,4,144,73,23,14,4,5.77,133,32,22,15,2,4,113,38,17,11,9,5,182,70,33.83,18,2,5,1319.395809
"25646",66,0.005,49,0.032,0.041,0.5,20.6,13.5,27.9,0,6.3,1.1,101.3,175,95,86,20,2,6,107,34,45,6,4,2,77,42,43,9,4,5.13,80,47,26,20,2,6,103,55,42,10,10,7,136,82,83.15,13,5,7,2044.72555010893
"15199",55,27,0.005,0.038,0.6,0.005,-1.1,-6.9,1.9,0,4.2,1.1,340.3,180,119,19,45,3,28,120,114,14,30,16,17,70,115,17,29,6,12,74,39,22,32,4,6,172,107,11,25,25,14,211,135,16.16,26,10,26,2252.1625
"9253",36,22,0.03,0.022,0.3,0.003,29,26.2,34.1,0,4.8,0.8,219.4,91,55,78,9,2,10,83,46,53,4,2,8,51,26,29,1,1,3.33,83,31,48.18,11,2,4,63,34,32,21,3,7,95,43,64.86,14,3,12,1243.854167
"25609",69,0.003,39,0.05,0.02,0.5,23.7,17,29.8,0,7.1,1.8,278.4,155,85,88,17,1,8,80,43,41,6,4,2,95,26,45,6,1,3.98,124,31,31,18,2,6,112,41,38,9,13,5,142,71,80.93,15,5,7,2015.1696765268
"20211",32,0.003,16,0.017,0.028,0.6,-1.7,-4.7,2.4,0,7,1.3,312.2,64,56,6,30,3,9,66,80,21,24,11,12,157,94,26,32,7,9.81,119,32,25,26,3,7,134,55,13,25,15,8,94,67,23.73,33,5,8,1772.63333333333
"2393",18,11,0.035,0.012,0.4,0.006,25.9,22.4,29.3,27,6.7,1.4,241.9,125,54,71,21,2,6,84,67,76,13,3,9,83,65,58,5,1,5,66,32,51,12,3,5,95,30,61,18,9,4,116,41,49,16,2,9,2295.593744
"15122",55,36,0.018,0.038,0.6,0.004,9.5,7,13.7,2,6.6,1.3,312.2,69,60,38,23,2,4,116,68,70,25,18,15,118,85,50,23,11,8,108,62,56,34,9,7,160,74,41,31,11,7,107,60,38,23,13,7,2392.507541
"24997",30,0.004,22,0.056,0.02,0.5,21.2602380952381,16.6672976190476,25.89575,2.46345476827094,8.3675,1.66913333333333,84.3536183316684,31,54,76,15,1,6,85,36,45,9,3,5,78,52,54,11,2,4.36,83,46,45,15,1,6,59,30,51,17,10,7,55,55,63.25,20,5,6,604.868055555556
"26530",19,0.006,9,0.04,0.017,0.3,9.6,5.1,14.2,17,13.1,3.6,61.9,82,28,38,14,1,3,65,39,44,17,7,3,46,44,48,15,3,4.22,113,25,37,14,2,6,107,51,37,25,5,6,85,44,37.41,18,2,4,1802.3125
"20827",26,0.004,14,0.017,0.017,0.9,0.5,-1.7,5.9,0,5,0.8,258.8,55,66,3,30,4,8,46,44,24,19,8,7,56,61,25,27,6,6.96,57,25,20,20,3,4,110,53,13,22,23,11,62,63,21.13,26,7,7,1120.78014905149
"7597",32,24,0.035,0.029,0.3,0.002,28.5,25.9,35,12.5,9.6,1.1,0,119,72,103,14,1,14,132,60,44,10,1,10,98,47,48,12,2,4.46,124,59,84.4,17,5,6,111,54,136,22,5,6,146,66,87.89,19,5,14,730.4804293
"5564",27,19,0.017,0.03,0.4,0.004,-9.2,-14.4,-6.3,0,6.3658,1.7,272.374318181818,116,79,5,43,7,16,124,75,23,27,15,13,1,1,19.77,21,11.93,9.08,187,59,13,39,11,11,172,80,9,32,55,20,172,100,16.13,34,16,17,1597.400453
"306",6,6,0.024,0.023,0.4,0.005,9.8,8.9,11.1,63,11,3.1,67.5,59,39,42,23,1.97,3,67,58,56,21,7,8,36,54,51,9,4,4.06,107,23,43,14,4,4,133,52,49,29,5,8,90,39,44.49,27,9,7,2641.0625
"26538",32,0.002,14,0.019,0.038,0.3,10.3,5.5,14.7,15,6.2,1.4,47.8,82,28,38,14,1,3,65,39,44,17,7,3,46,44,48,15,3,4.23,113,25,37,14,2,6,107,51,37,25,5,6,85,44,37.54,18,2,4,1663.09722222222
"18279",74,40,0.021,0.05,0.4,0.011,13.4,5.8,20.5,0,7.5,1.7,199.7,177,102,110,20,7,12,157,62,65,10,5,7,99,40,60,8,2,5.42,110,58,52,14,4,4,137,78,75,16,15,10,165,99,72.65,32,14,14,794.1960913
"24648",11,0.003,6,0.037,0.009,0.3,23.7,17.95,29.75,0,7.25,1.725,185.475,121,64,121,16,3,7,86,44,78,6,3,5,96,28,40,4,1,4.3,91,28,54,8,2,3,78,52,94,23,13,8,97,61,93.25,21,7,8,807.762516030486
"11150",42,23,0.014,0.033,0.6,0.005,3.8,-1.2,8.2,0,4.6,0.8,42.2,281,144,3,52,16,48,144,75,32,31,32,18,159,68,16,25,20,5,96,28,22,26,5,7,156,97,5,41,97,18,183,103,5,40,36,30,1095.979167
"7334",32,19,0.035,0.033,0.4,0.005,22.9,15.7,30.3,0,5.2,1,199.7,141,46,105,14,2,7,79,33,40,11,6,8,77,53,72,7,2,3,118,76,95,26,11,8,116,51,34,21,5,3,140,54,69,17,9,14,3766.8125
"1881",15,5,0.021,0.017,0.3,0.002,21.9,17.9,27.4,0,8.4,2.3,106.9,115,61,68,16,4,7,63,27,41,6,3,5,70,50,54,24,5,6.37,63,33,37,14,3,4,116,41,38,17,17,8,109,64,64.14,20,5,12,1700.671755
"12585",46,29,0.035,0.028,0.4,0.006,26.7,22.2,32.9,0,3.9,0.7,185.6,151,74,38,17,2,13,112,83,42,4,3,8,118,63,68,6,1,5,72,42,87,16,5,5,106,46,91,16,9,6,113,52,30,19,3,9,1435.84375
"7673",32,14,0.015,0.018,0.6,0.007,-8.9,-12.8,-4.9,0,8.6,2.1,286.9,35,27,19,11,2,3,45,32,21,12,8,6,67,62,23,20,8,6.26,94,39,20,17,4,6,72,43,17,15,13,6,42,47,26.91,19,5,6,2789
"22563",20,0.003,11,0.037,0.028,0.2,25,20.5,30.4,0,5.8,1.1,75.9,129,26,38,9,1,2,59,30,27,8,4,6,67,62,35,18,4,4.54,83,39,54,9,3,5,85,30,22,12,7,3,107,47,47.12,18,7,6,1633.11270101002
"21937",23,0.003,14,0.029,0.008,0.3,15.4,9.1,22.8,0,12,2.5,87.2,95,49,8,20,3,8,113,57,20,16,8,10,118,76,57,24,3,5.15,135,40,43,15,3,4,76,35,16,13,5,3,81,37,39.2,18,4,8,1593.15
"23137",30,0.006,15,0.03,0.015,0.4,26,22.3,30.1,0,8.4,1.7,45,45,46,79,16,1.96,4,48,22,48,9,3,6,97,74,102,26,6,6.83,107,34,31,14,2,5,36,22,39,14,4,4,73,57,68.05,20,5,10,781.839786324786
"22458",13,0.002,6,0.012,0.019,0.4,18.2,16,21.6,0,2.9,0.4,345.9,143,64,101,16,2,11,128,42,40,13,6,5,77,61,51,13,3,4.97,57,24,36,11,2,5,105,38,26,21,8,5,170,60,75.48,24,6,9,1090.52083333333
"3826",23,11,0.006,0.023,0.4,0.003,25.9,22.2,29.7,37.5,8.3,1.2,289.7,62,32,34,22,1,5,64,30,44,15,5,10,47,37,51,9,3,3,34,36,84,11,3,5,89,36,35,19,3,4,112,44.02,43.17,18.41,4.09,8.47,1581.725
"1290",12,5,0.015,0.009,0.5,0.002,28.5,23.8,31.8,3.5,7,1.5,357.2,57,31,46,15,8,6,98,49,46,12,7,9,84,97,70,14,6,6.5,89,61,85.37,17,5,8,81,23,31,12,4,4,117,42,50.33,19,3,11,1342.15625
